ID;ROW_NUMBER;PURCHASING_ORGANIZATION;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;VENDOR_CODE;VENDOR_NAME;NET_PRICE;CURRENCY
.1~60;60;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~61;61;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~62;62;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~63;63;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~64;64;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~65;65;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~66;66;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~67;67;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~68;68;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~69;69;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~70;70;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~71;71;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~72;72;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~73;73;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~74;74;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~75;75;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~76;76;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~77;77;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~78;78;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~79;79;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~80;80;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~81;81;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~82;82;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~83;83;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~84;84;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~85;85;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~86;86;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~87;87;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~88;88;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~89;89;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~90;90;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~91;91;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~92;92;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~93;93;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~94;94;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~95;95;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~96;96;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~97;97;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~98;98;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~99;99;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~100;100;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~101;101;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~102;102;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~103;103;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~104;104;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~105;105;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~106;106;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~107;107;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~108;108;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~109;109;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~110;110;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~111;111;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~112;112;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~113;113;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~114;114;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~115;115;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~116;116;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~117;117;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~118;118;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~119;119;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~120;120;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~121;121;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~122;122;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~123;123;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~124;124;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~125;125;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~126;126;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~127;127;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~128;128;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~129;129;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~130;130;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~131;131;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~132;132;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~133;133;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~134;134;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~135;135;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~136;136;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~137;137;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~138;138;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~139;139;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~140;140;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~141;141;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~142;142;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~143;143;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~144;144;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~145;145;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~146;146;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~147;147;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~148;148;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~149;149;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~150;150;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~151;151;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~152;152;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~153;153;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~154;154;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~155;155;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~156;156;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~157;157;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~158;158;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~159;159;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~160;160;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~161;161;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~162;162;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~163;163;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~164;164;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~165;165;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~166;166;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~167;167;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~168;168;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~169;169;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~170;170;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~171;171;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~172;172;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~173;173;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~174;174;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~175;175;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~176;176;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~177;177;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~178;178;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~179;179;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~180;180;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~181;181;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~182;182;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~183;183;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~184;184;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~185;185;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~186;186;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~187;187;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
